id,myTime,myFramerate,myResolution,shaderTitle,shaderStatsLikes,shaderAuthorName,shaderAuthorDate,shaderStatsViewed,shaderDescription,shaderStatsComments
251,1.71,60.0 fps,420 x 236,HOWTO: Ray Marching,329,MichaelPohoreski,2015-01-24,22750,"A mini tutorial on How To get started with Ray Marching with zero experience.
The NeHe, er, PoHo of Ray Marching Tutorials. :-)
    0.49 Fix uncomment for AUTO_ROTATE",13
252,2.23,60.1 fps,420 x 236,Paint streams,495,michael0884,2020-06-24,22683,"Cellular automaton particle tracking used for advection in a fluid which is also fully conservative
Each pixel has 1 virtual particle
https://michaelmoroz.github.io/Reintegration-Tracking/",48
253,1.51,59.9 fps,420 x 236,Biomine,168,Shane,2016-09-03,22565,Using a combination of simple gyroid surfaces to create a dual mineral and organic looking scene.,24
254,2.26,60.1 fps,420 x 236,CoordSys - intersection,136,iq,2013-09-04,22556,Spinning disks,7
255,0.00,00.0 fps,420 x 236,M-O (from Wall-E),127,dean_the_coder,2020-12-16,22560,Anyone remember 'M-O' from Pixar's 'Wall-E' movie?  Here's my tribute to that little chap.,23
256,1.81,60.1 fps,420 x 236,Gas Giant!,162,HamzaHutchinson,2015-05-03,22459,"Trying to make a nice looking space scene. Inspiration, code and learning drawn from a number of different shaders. Thanks to iq, Antonalog and mu6k.",19
257,2.00,60.0 fps,420 x 236,Texture Repetition I,107,iq,2015-02-14,22368,Avoiding texture repetition by using Voronoise: a small texture can be used to generate infinite variety instead of tiled repetition. More info: https://iquilezles.org/articles/texturerepetition/,15
258,0.86,60.1 fps,420 x 236,sound - acid jam,324,srtuss,2014-07-31,22317, the new sound feature. ,37
259,2.32,59.9 fps,420 x 236,Ellipse - distance 2D,41,iq,2013-10-22,22268,"Analytical distance to a ellipse, which can be solved with a cubic equation. More info: http://iquilezles.org/articles/ellipsedist/ellipsedist.htm",20
260,1.48,59.9 fps,420 x 236,Fractal Cave,123,iq,2016-07-18,22240,"A variation of https://www.shadertoy.com/view/MsdGzl, which is pretty much a distorted Manger fractal: https://www.shadertoy.com/view/4sX3Rn. Most of the lighting is indirect, so it takes a while to converge.",12
261,1.53,59.9 fps,420 x 236,Ribbon Assault,96,Dave_Hoskins,2014-02-26,22202,"Inspired by the 'Kali2 scope' - https://www.shadertoy.com/view/lsBGWK
Should be fast full-screen for everybody. : )
Use mouse for manual movement.",14
262,1.41,60.0 fps,420 x 236,Suture Fluid,395,cornusammonis,2016-04-14,22126,"Fake fluid dynamical system that creates viscous-fingering-like flow patterns, and suturing patterns along boundaries. Try letting it evolve for a while in fullscreen. Use the mouse to paint, spacebar resets the system (useful in fullscreen).",20
263,0.68,59.9 fps,420 x 236,Sky001 ,157,candycat,2016-02-17,22087,first try to render the sky.,14
264,0.00,00.0 fps,420 x 236,oilArt,363,and,2016-02-18,22027,"Image encoded in mp3 audio stream.
Original painting by Leonid Afremov.
Special thanks to Inna Cherneykina for ""brush"" choreography.",55
265,0.94,61.5 fps,420 x 236,Star Nursery,271,Dave_Hoskins,2013-03-01,21989,"Reminded me of Hubble Star-Nursery images, well, a little bit anyway.

Just sit and watch it full screen for a while, and feel the interstellar beginnings wash over you!  ",16
266,2.14,60.1 fps,420 x 236,Waves Remix,157,ADOB,2015-04-10,21847,"simple audio visualizer (also pretty without audio) based upon ""waves"" by bonniem, with added travelling pulse effect, color cycling, and of course, the requested audio sensitivity. Each wave is particularly responsive to a specific range of frequencies.",9
267,0.00,00.0 fps,420 x 236,TIE Fighters,71,dean_the_coder,2020-12-28,21778,"It was a fine line between creating a scene with
TIE Fighters or X-Wings. TIE Fighters won.

Scene duration: 40 secs",10
268,0.00,00.0 fps,420 x 236,[SH17B] Pixel Shader Dungeon,211,knarkowicz,2017-07-24,21664,"Greetings adventurer!
Controls: arrow keys
TIPs:
-Attack by walking into enemies
-Walk into a wall to skip a turn
-Time movement to attack first
-Lure enemies into traps
Based on ""Pixel Dungeon"" (http://pixeldungeon.watabou.ru/)",32
269,0.84,63.6 fps,420 x 236,2d signed distance functions,444,Maarten,2015-08-17,21577,"test stuff for signed distance fields, just a playground
update: added early out in shadow, made min step larger (1 instead of 0.5), made step equal to distance instead of half distance
this allows fewer steps without light bleeding",24
270,1.13,59.9 fps,420 x 236,Will it blend,240,nmz,2015-11-25,21515,"From left to right: RGB Lerp, HSV bledning, CIE Lch Blending, My blending function
Mouse lets you change interpolated colors, the cylinder switches between HSV and Lch over time (Lch is the smooth one).

The new blending method is at line 200.",15
271,1.47,59.9 fps,420 x 236,Soft Shadow Variation,215,iq,2018-03-27,21522,Testing Sebastian Aaltonen's soft shadow improvement. Go to line 54 to compare with the traditional technique for soft shadows. It's very cheap and improves shadows a lot!,17
272,2.61,60.1 fps,420 x 236,yuan,42,playertk,2020-10-26,21527,yuan,2
273,1.42,59.9 fps,420 x 236,2D LED Spectrum - Visualiser,64,uNiversal,2015-05-27,21375,"A simple 2D LED Spectrum analyser visualisation, based on Led Spectrum Analyser by: simesgreen

Made to work in Kodi shadertoy addon https://github.com/topfs2/visualization.shadertoy/pull/3",4
274,1.48,60.0 fps,420 x 236,Ether,494,nimitz,2014-11-23,21191,A wild distance field in its natural habitat.,15
275,2.46,59.9 fps,420 x 236,A quine,141,reinder,2018-08-12,21177,"This is done before and my code is not the most optimised, but it is nice to write your own quine!",19
276,1.57,59.9 fps,420 x 236,Venice,176,reinder,2013-09-18,21129,"My attempt to create a procedural city with a lot of lights. The city is inspired by Venice. The shader is a combination of my shaders: https://www.shadertoy.com/view/Mdf3zM and https://www.shadertoy.com/view/lslGDB.
(I have never been in Venice btw)",21
277,1.44,60.0 fps,420 x 236,Analytic Motionblur 2D,309,iq,2014-01-09,21103,Analytic motion blur. A disk is checked for intersection while moving linearly. The resulting equation is a quadratic that can be solved to compute the time coverage of the swept disk over the pixel over the aperture of the camera (a full frame at 24 hz),8
278,2.21,60.1 fps,420 x 236,001-DrawCircle,35,haquxx,2020-01-29,21098,Draw circle,1
279,0.00,00.0 fps,420 x 236,Arlo,118,iq,2015-12-14,20791,"Arlo, from Pixar's movie The Good Dinosaur, simplified and remade as a procedural distance field. I'm using ray differentials to do heightmap and texture filtering without edge artifacts. Video https://www.youtube.com/watch?v=yMpG6qEb8js",39
280,0.18,0.6 fps,420 x 236,Sphere Gears,261,iq,2019-08-20,20737,"Originally based on https://www.shadertoy.com/view/XlVcWz, but much more optimized and remade. LIVE coding tutorial on it here: https://www.youtube.com/watch?v=sl9x19EnKng",22
281,1.72,60.0 fps,420 x 236,Torus Journey,58,PauloFalcao,2013-02-26,20581,Torus Journey (shadertoy version),6
282,0.82,59.5 fps,420 x 236,Bender,221,iq,2014-08-07,20381,"Bender distance field (partial, only what's visible to camera).",14
283,0.37,1.3 fps,420 x 236,A lot of spheres,164,reinder,2013-05-14,20365,Simple raytracer showing a lot of spheres and light sources. A grid is used as an acceleration structure.,7
284,0.56,44.8 fps,420 x 236,Warping - procedural 4,206,iq,2014-08-27,20358,More fbm warping,8
285,1.20,59.9 fps,420 x 236,synthetic aperture,175,FabriceNeyret2,2014-07-13,20335,"Synthetic aperture tunes sources phase so as to concentrate interferences on a target (emit or ear). ex:MIMO
Target: mouse.  S or SPACE:  linear/circular sources distrib.   R: random spacing.    P: dist fading or not
W: display waves instead of energy. ",36
286,0.00,00.0 fps,420 x 236,Turn n' Burn,216,ingagard,2017-10-26,20333,"Please read description in the top of Image for information about controls and optimizations.
Use the mouse while holding down the left mouse button to control the camera.

Enjoy!",60
287,0.97,47.5 fps,420 x 236,Repelling,145,iq,2014-11-15,20312,Testing collisions. Too slow if made this way.,14
288,0.78,60.0 fps,420 x 236,Gold Noise Uniform Random Static,102,dcerisano,2015-03-24,20183,"- based on the Golden Ratio
- uniform normalized distribution
- fastest static noise generator function (also runs at low precision)
- use with indicated fractional seeding method
",67
289,0.79,60.0 fps,420 x 236,Fractal Nyancat,92,iq,2013-05-18,20132,"Instead of using a mathematically defined shape for orbit trapping in fractals, a bitmap can be used just as easily ^_^",9
290,1.88,60.0 fps,420 x 236,Lens Flare Example,260,mu6k,2013-08-13,20121, Trying to get some interesting looking lens flares.,19
291,2.62,60.1 fps,420 x 236,PsychedelicSakura,32,Reva,2020-02-21,20149,Ex02,0
292,0.00,00.0 fps,420 x 236,[SH16C] Contra,171,knarkowicz,2016-07-24,20102,"Brings me back memories of the 90s in grim Eastern Europe (just after Soviet Union fell). Loved to watch western action movies (Rambo!) and of course to play Contra! Can you finish 1st lvl?
A/Q - fire S/W - jump Arrows - move, jump, lie down, dive",51
293,0.95,60.1 fps,420 x 236,Organic segment test,24,Zavie,2017-03-07,20023,Playing around with a segment SDF to get something a little more life-like.,5
294,2.29,60.0 fps,420 x 236,Ashanoha,44,coposuke,2020-01-24,20017,traning. 麻の葉,14
295,1.29,60.0 fps,420 x 236,Earthbound Battle Scene VR,58,RavenWorks,2015-05-16,19942,Check out the expanded version by clicking HERE!,8
296,0.34,1.2 fps,420 x 236,Luminescence,346,BigWIngs,2017-05-23,19947,"My entry for the monthly challenge on r/proceduralgeneration 
Use the mouse to look around. Uncomment the SINGLE define to see one specimen by itself.
Code is a bit of a mess, too lazy to clean up. Hope you like it!",29
297,0.00,00.0 fps,420 x 236,Lightsaber Duel,198,Maurogik,2016-06-25,19891,"Here goes 6 months worth of lunch time programming !
Sort of procedural animation and a healthy dose of @SebHillaire volumetric light integration.",26
298,0.00,00.0 fps,420 x 236,Unreal Intro,161,fizzer,2014-10-03,19796,"A remake of the castle fly-by sequence from the classic 90's videogame Unreal. The geometry is converted directly from the level data and I made everything else myself. ""Alter your reality...forever"".
http://www.youtube.com/watch?v=26I-Pw-yPJ4",22
299,1.64,60.0 fps,420 x 236,Timeless depths - cineshader,16,kesson,2020-09-25,19813,"A timeless depths, constantly mutating over time.

A raymarch experiment based on the tutorial by The Art Of Code: https://www.youtube.com/watch?v=-adHIyjIYgk",0
300,1.10,61.0 fps,420 x 236,Annotated Ray Tracing,134,Polytonic,2015-05-12,19745,See https://www.tinycranes.com/blog/2015/05/annotated-realtime-raytracing/,15
301,0.49,1.6 fps,420 x 236,Timeless depths,17,kesson,2020-06-24,19631,"A timeless depths, constantly mutating over time.

A raymarch experiment based on the tutorial by The Art Of Code: https://www.youtube.com/watch?v=-adHIyjIYgk",3
302,1.32,60.0 fps,420 x 236,Sponge Tunnel,12,hatuxes,2020-01-28,19595,Simple Menger.,0
303,0.83,60.8 fps,420 x 236,Aeriel Flux,9,iRyanBell,2020-08-13,19591,"Based on Aeriel Machina https://fractalforums.org/share-a-fractal/22/df-mandelbox-variation/3547

View on Cineshader @ https://www.cineshader.com/view/WtsBzf",0
304,0.46,42.0 fps,420 x 236,Frozen wasteland,334,Dave_Hoskins,2015-03-02,19548,"Frozen wasteland. Built on nimitz's model, although I didn't use his fog stuff after all. It uses fog ray tracing included within the main ray march. Which means it tends to be thicker in the smaller ray incremental areas near objects.",40
305,2.31,60.0 fps,420 x 236,Fractal.4,14,gaetanThiesson,2020-01-31,19564,Old fractal exploration for CineShader,0
306,1.00,59.9 fps,420 x 236,大龙猫 - Quicky#006 - Cineshader,13,totetmatt,2020-02-09,19506,"Cineshader version
https://cineshader.com/view/wltSRS",0
307,0.81,54.3 fps,420 x 236,Juliabulb - derivative,108,iq,2013-02-10,19409,"A Julia-bulb implementation. Two tricks worth noting: [1] it doesn't use pow() functions to compute complex number powers, but it uses algebra instead.  [2] the distance estimator (DE) is analytic, not based on numerically computed gradient. ",1
308,0.90,62.2 fps,420 x 236,Sakura Fubuki (cherry blossoms),10,whisky_shusuky,2020-02-01,19417,spring in japan,1
309,1.56,60.0 fps,420 x 236,Smooth HSV,173,iq,2014-03-08,19352,C1 continuous RGB colors under linear interpolation of hue H in HSV space. ,16
310,0.00,00.0 fps,420 x 236,Metal Vortex,9,BackwardsCap,2019-02-19,19269,Traveling into a vortex of metal,2
311,2.40,60.0 fps,420 x 236,Shadertober 06b - Husky,11,BackwardsCap,2019-10-07,19142,Now I am craving some corn,2
312,1.80,60.0 fps,420 x 236,penrose flower,17,spleenooname,2019-03-03,19085,"(1st shader on shadertoy. advance thanks for any advice!!)

a code rumination after Escher's exhibition.",4
313,0.20,0.5 fps,420 x 236,Robin ,240,Dave_Hoskins,2015-01-02,19040,"The winter Robin - a UK resident bird.
They occasionally sing at night next to street lights.
Despite their cute appearance, they are aggressively territorial.
Update: Background birds now answer back.",27
314,2.49,60.0 fps,420 x 236,shader_02,8,monodnb,2020-02-14,19059,i want it bw,0
315,1.93,60.0 fps,420 x 236,Tissue,255,iq,2014-10-31,19059,Another experiment in stacking texture in a 2D plane deformation.,23
316,2.63,60.1 fps,420 x 236,Interstellar,392,TekF,2013-09-24,19012,"March through a 2D grid, offsetting stars along z for each grid cell. This is much faster than doing a loop over all stars, but creates some artefacts.",13
317,2.01,60.0 fps,420 x 236,simple hexagon raymarch,67,macbooktall,2015-11-14,18980,"just a simple raymarch.
forked from cail's https://www.shadertoy.com/view/lt2SRt",10
318,2.30,60.0 fps,420 x 236,3d simplex noise,128,nikat,2013-07-03,19015,"3d version of Simplex Noise with commented code.
     ( http://en.wikipedia.org/wiki/Simplex_noise )      
This code can't be easily extended to 4d version, because it uses vec4 to store 4 surflets. In 4d version you'll need 5 surflets.",16
319,1.79,60.0 fps,420 x 236,Coming Alive II,8,NinaFranziska,2020-02-05,18973,"static but alive, mesmerizing and alienating",1
320,2.59,60.0 fps,420 x 236,Waves,231,bonniem,2013-03-07,18923,A simple live wallpaper ,9
321,1.08,60.0 fps,420 x 236,Meta CRT,360,P_Malin,2017-03-29,18878,"Experiments with CRT screen material with scanlines and RGB elements.
Post FX include temporal AA, depth of field and motion blur.",55
322,1.93,59.9 fps,420 x 236,SDF Tracing Visualization,173,paniq,2014-05-18,18829,Testbed for tracing,9
323,2.08,60.0 fps,420 x 236,Ribbons,144,XT95,2013-02-27,18743,"Some colored ""ribbons"" who are illuminated by the sound.",9
324,0.92,60.0 fps,420 x 236,Analytical Motionblur 3D,154,iq,2014-01-09,18739,"Analytic motion blur. A sphere is checked for intersection while moving linearly. The resulting equation is a quadratic in two parameters (distance and time), and returns the time coverage of the swept disk over the aperture of the camera for a given ray",5
325,1.83,60.0 fps,420 x 236,Disco tunnel,70,WAHa_06x36,2018-05-08,18677,A fabulous tunnel. Good for staring at.,6
326,1.05,60.0 fps,420 x 236,Font: Bitmap vs SDF,81,MichaelPohoreski,2016-09-28,18613,"Bitmap vs Signed Distance Field
Header 1:1 res, Bottom 1:20
Left-to-Right: Bitmap Nearest Neighbor, Bitmap Linear, SDF ""as-is"", SDF smoothstep(0.5,0.5), 1/fwidth()
Instructions: Click & Drag X to change smoothstep() of middle SDF glyph, Y to change gamma",8
327,0.52,53.2 fps,420 x 236,Wait.. what? CyberTruck!,195,BigWIngs,2019-11-28,18524,Couldn't help it. This thing is insane!See code for comments.,29
328,2.26,60.0 fps,420 x 236,VCR distortion,135,ryk,2014-02-02,18523,An attempt at making vcr style tape degradation.,9
329,1.58,60.0 fps,420 x 236,Hexagonal Grid Traversal - 3D,270,iq,2020-09-13,18510,"Everybody has to implement an hexagonal grid. This it mine. It's minimal, efficient and robust. Each cell is visited only once, in the right order. It also performs analytical ambient occlusion (one ring). It should run full speed even on crappy phone.",19
330,1.60,60.0 fps,420 x 236,Metaballs - Quintic,176,iq,2013-10-29,18401,Bounded metaballs with quintic falloff. Literature often recommends cubic (smoothstep) falloffs (rather than exponential or 1/dÂ²) for they are bounded. However they produce discontinuities in normals/lighting. Quintic falloffs solves the problem.,5
331,2.15,60.0 fps,420 x 236,Winding Menger Tunnel,180,Shane,2016-03-10,18390,Constructing some objects around a winding path.,28
332,0.77,49.6 fps,420 x 236,Sun surface,313,Duke,2015-10-13,18379,Based on Shanes' Fiery Spikeball https://www.shadertoy.com/view/4lBXzy (I think that his implementation is more understandable than the original ) Relief come from Siggraph workshop by Beautypi https://www.shadertoy.com/view/MtsSRf,21
333,0.00,00.0 fps,420 x 236,Bridge,160,iq,2013-07-30,18292,"Reused an old bridge model I had and made an environment for it (""first snot of the season"" sort of environment). As usual, it's all pretty rushed and certainly very hacked.",12
334,1.79,59.9 fps,420 x 236,Fires,339,xbe,2014-07-22,18289,Simple fire flames rendering. Multiple flame perturbations illustrated from candle light to strong fire.,10
335,1.05,59.9 fps,420 x 236,Anisotropic Blur Image Warp,256,cornusammonis,2016-04-21,18189,"Warps an image using an anisotropic blur kernel controlled by a vector field. Use mouse controls to mess with the underlying vector field, and spacebar to reset in fullscreen.",17
336,0.96,60.3 fps,420 x 236,Vinyl Visualizer,58,s23b,2016-12-15,18180,"inspired by the logo of a bar

music by Fleece",6
337,2.33,60.0 fps,420 x 236,The Inversion Machine,235,Kali,2013-06-26,18141,"My ""Inversion Machine"" shader now with synthesized sound",27
338,0.64,57.3 fps,420 x 236,Pegasus Galaxy,232,frankenburgh,2016-10-10,18157,"Galaxy shader from Pegasus 4k Intro
4kb executable: http://www.pouet.net/prod.php?which=65859
https://www.youtube.com/watch?v=3pXhImWoNsw",11
339,0.00,00.0 fps,420 x 236,On/Off Spikes,110,movAX13h,2014-10-17,18069,"My first rm shader with shadow pass. No AA. Mouse enabled. 
Thank you srtuss for support. Thank you morgan3d for the nebula function.",10
340,0.78,62.3 fps,420 x 236,Terrain Tubes,153,iq,2014-10-14,18034,"Testing some super cheap cosine-based noise, and some random ideas on tubes.",11
341,0.00,00.0 fps,420 x 236,Shader Rally,229,P_Malin,2016-01-14,17992,"Physics Hackery using the new mutipass things.
WASD to drive. Space = brake
Click mouse to orbit camera
G toggle gravity
V toggle wheels (vehicle forces)
. and , flip car",44
342,0.92,41.5 fps,420 x 236,[SH16B] valley flight,132,Bananaft,2016-07-15,17974,"Here is my raymarching debut. Developed on GTX 960. Thanks for watching!

Main inspiration (and optional soundtrack): https://www.youtube.com/watch?v=zLohrSf69ao

Should look like this: https://twitter.com/Bananaft/status/754706898092425220",15
343,1.79,60.0 fps,420 x 236,[SH16C] Voxel Game,243,fb39ca4,2016-07-20,17975,"All of the block data here is generated and remains on the GPU, and is rendered by raycasting. If you are getting a black screen, your GPU might be lacking necessary features. Has been tested on recent Nvidia and Intel GPUs.",57
344,1.00,61.7 fps,420 x 236,Mandelbulb - derivative,123,iq,2013-02-11,17960,"A Mandelbulb implementation. Two tricks worth noting: [1] it doesn't use pow() functions to compute complex number powers, but it uses algebra instead.  [2] the distance estimator (DE) is analytic, not based on numerically computed gradient.  ",25
345,1.26,60.0 fps,420 x 236,Palette Dithering Test,176,Flyguy,2015-05-14,17936, Testing palette dithering using the bayer matrix texture and colors from the Commodore 64's color palette.,12
346,0.92,61.3 fps,420 x 236,No Man's Starfield,136,marian42,2016-09-04,17880,Flight through a starfield inspired by the galactic map in No Man's Sky,7
347,2.33,60.0 fps,420 x 236,Raymarched Reflections,203,Shane,2015-11-17,17839,"A very basic demonstration of raymarching a distance field with reflections and shadows. Definitely not cutting edge, but hopefully, interesting to anyone who isn't quite familiar with the process.",22
348,1.13,60.1 fps,420 x 236,Transparent Cube Field,215,Shane,2015-10-13,17828,"Some simple code to produce a relatively cheap, transparent cube field.",32
349,2.18,59.9 fps,420 x 236,Motion blur example,39,kig,2013-12-25,17800,Simple ray tracing example with motion blur.,2
350,0.00,00.0 fps,420 x 236,Path Tracer MIS (progressive),160,koiava,2017-05-17,17792,"Example Path Tracer which does Next Event Estimation and Multiple Importance Sampling.
Single pass version: https://www.shadertoy.com/view/ldBcDt",22
351,1.35,59.8 fps,420 x 236,Dry ice 2,435,xjorma,2021-01-24,17793,"Polished version of my previous shader ""Dry Ice""
https://www.shadertoy.com/view/3d3fRB
I was sure that with bit polish (Polishing is unfortunately not my strenght) I could achieve a better result. To be honest The result is way better than i anticipated.",31
352,1.56,60.0 fps,420 x 236,Awesome star,185,foxes,2015-07-20,17697,"i found in game.interstellarmovie.com planet generator and simulated generation of stars with the noise.
you can rotate with mouse 
  Interstellar gameplay",12
353,2.61,60.0 fps,420 x 236,Digital Brain,412,srtuss,2013-06-12,17687,"Some experiments with voronoi noise. I found many cool looking formulas, here is one of them. (Also try fullscreen!)
*Now with colors.",15
354,2.42,60.0 fps,420 x 236,shad3r,3,xvart,2020-02-03,17655,"was again a checker board, not anymore still",0
355,2.51,59.9 fps,420 x 236,Analytic Normals 3D,191,iq,2016-12-02,17596,"Left, analytical normals of Value Noise, without taking little differences. See http://iquilezles.org/articles/morenoise/morenoise.htm for more info. See https://www.shadertoy.com/view/MdsSRs for the 2D case.",17
356,0.00,00.0 fps,420 x 236,Abandoned base,181,reinder,2014-08-30,17439,"My entry to the in-official, nonexistent st mine compo  If you like shiny things, define 'GOLD' at line 3. Use your mouse to look around.",28
357,1.77,60.1 fps,420 x 236,The Legend of Zelda,92,HLorenzi,2013-12-18,17392,"Link wiping out some randomly-created Octoroks in a stateless shader! All you see is just a function of time! 
This could actually work as a screensaver...!
Explaining the basic movement concept: https://www.shadertoy.com/view/Md2GW1",13
358,0.66,60.0 fps,420 x 236,Circle pattern,257,iq,2013-10-11,17374,"Loved the  shader by slembcke, so I took his idea of the interlaced double grid and improvised for a few minutes.",2
359,1.53,59.9 fps,420 x 236,Rock-Paper-Scissor-4D,368,Flexi,2016-01-23,17364,"Multi-scale ""Milkdrop2"" Gaussian blur diffusion, vortex pair plane deformation, cyclic rgba reaction, gradient lookups for expansive flow and edgy color map. If it freezes, rub it. click down and hold. ",32
360,1.80,60.0 fps,420 x 236,Gameboy ,123,iq,2013-02-27,17343,Trying to emulate the look of the Gameboy screen ,13
361,0.00,00.0 fps,420 x 236,20221105_inercia intended one,372,0b5vr,2022-11-05,17374,"OVERSLEPT + BUG PANIC

Intended to be won the Inércia 2022 Shader Royale
The estimated time will be 120min

https://2022.inercia.pt/",29
362,0.27,1.0 fps,420 x 236,Industrial Complex,119,Shane,2016-12-15,17304,Using standard distance field operations to produce an abstract industrial complex with a lot of floor space. ,25
363,1.64,60.0 fps,420 x 236,Atmosphere system test,188,valentingalea,2015-09-27,17301,"test of realistically modeling the atmosphere.

use mouse to switch perspective",22
364,1.47,60.0 fps,420 x 236,Noise animation - Lava,226,nimitz,2014-06-23,17245,"Playing with different ways of animating noise. In this version, the noise is made using the ideas behind ""flow noise"", I'm not quite sure it qualifies though, but it looks decent enough.",10
365,1.61,60.0 fps,420 x 236,Candy Tunnel,40,shau,2018-04-20,17251,Colourful tunnel,6
366,0.85,63.3 fps,420 x 236,Warped Extruded Skewed Grid,350,Shane,2020-08-20,17166,"A warped extruded skewed dual tile grid, rendered in an early 2000s demoscene style. ",27
367,1.78,59.9 fps,420 x 236,Binary star,116,Duke,2015-11-04,17097,Press 1-2-3 to zoom in and zoom out.,8
368,1.60,60.1 fps,420 x 236,The Mountain,75,banthar,2017-05-29,17105,"Animated 80s style album cover ""inspired"" by https://gunshipmusic.bandcamp.com/.
Look around with mouse.",10
369,2.65,60.0 fps,420 x 236,foil,14,emtower,2016-12-03,17014,"foil sheet, test shader",0
370,0.80,61.6 fps,420 x 236,The road to Hell,151,rez,2013-02-25,17010,"A pixel shader I did for Razor 1911's ""The Scene Is Dead"" 64k intro.
It's a pretty simple mix of boolean operations on various tubes and spheres but I'm pretty statisfied with the final result ",15
371,0.48,1.6 fps,420 x 236,Triangulated Heightfield Trick,143,fizzer,2018-10-24,16998,Here is a trick to raytrace a triangulated heightfield taking only 1 sample of the heightfield for each triangle tested against the ray and reducing the ray-vs-triangle test to a ray-vs-plane test. Primary rays and shadow rays are both raytraced.,9
372,1.95,60.0 fps,420 x 236,Elevated coast,144,guil,2015-03-21,16986,Cheap sine noise with derivatives tested with the terrain from IQ's Elevated,13
373,0.73,61.9 fps,420 x 236,Near miss!,44,Dave_Hoskins,2013-05-04,16971,"This evolved from a 2D to a 3D effect, and is still a mixture of the two.
Note how it randomly eyeballs you as it swims past! ;)

Video of it:-
http://www.youtube.com/watch?v=Dhbhzi5ouh4",11
374,1.61,60.1 fps,420 x 236,transforming ellipses,48,mattz,2016-10-07,16898,The result of mapping an ellipse through a homography (2D perspective warp) is generally another ellipse. Note the center of the new ellipse (dark red) is not the same as the transformed center (green).,7
375,1.19,59.9 fps,420 x 236,More Spirograph,76,eiffie,2015-02-10,16814,"If this crashes anyone's browser let me know. Its just a simplified version of my last shader with a ""gradient"" check to slow down the stepping. ",7
376,1.40,60.0 fps,420 x 236,Box - intersection,67,iq,2014-03-03,16807,"Intersection of a ray and a box. The ray is transformed to box space, and the returned normal is converted back to ray space upon intersection. If there were many boxes to be intersected oriented the same way, the transformations should be done only once.",13
377,2.49,59.9 fps,420 x 236,MattiasCRT,93,Mattias,2013-12-08,16710,"Just some CRT emulation experimentation.
I also ported it to Unity, and applied it to the AngryBots demo game

http://colossusentertainment.com/ShaderTest/ShaderTestXfade.html
",6
378,2.38,60.0 fps,420 x 236,Supernova remnant,322,Duke,2016-06-13,16688,Based on Dusty nebula 4 Added emission light to the filaments. I continue to think about how to animate this shader.,31
379,0.00,00.0 fps,420 x 236,Old watch (IBL),248,reinder,2018-04-30,16672,This shader uses Image Based Lighting (IBL) to render an old watch. The materials of the objects have physically-based properties. I have used the IBL technique as explained in the article 'Real Shading in Unreal Engine 4' by Brian Karis of Epic Games.,32
380,1.34,59.9 fps,420 x 236,noise distributions,221,hornet,2014-07-11,16656,"left to right:
- uniform noise
- triangular noise
- gaussianish noise
- moar gaussianish noise 

Used in relation to http://www.loopit.dk/banding_in_games.pdf",10
381,1.21,60.0 fps,420 x 236,Voxel Corridor,126,Shane,2016-05-26,16655,"Utilizing fb39ca4's, IQ's, Reinder's, etc, voxel code to produce a very simple block work corridor.",23
382,2.33,60.1 fps,420 x 236,Broken Screen Simulator,8,mgrant8164,2017-03-13,16809,Broken Screen Simulator - A failed project used a prank.,0
383,1.81,60.1 fps,420 x 236,Combustible Voronoi,236,Shane,2015-08-18,16521,"The effect itself is nothing new or exciting, just some moving 3D Voronoi layering. However, the fire palette might prove useful to some.",9
384,1.45,60.0 fps,420 x 236,Twisted Ladder,54,dr2,2018-02-27,16455,The cylinders lie on a (1.5 twist) Mobius strip bounded by a trefoil knot (mouseable),6
385,2.24,60.0 fps,420 x 236,A river,132,Pierco,2014-02-27,16407,Just a river. Splamer's version is much more interesting: https://www.shadertoy.com/view/WsByzd,40
386,2.47,60.1 fps,420 x 236,Tone mapping,86,Zavie,2013-08-25,16379,"Comparing different tone mappings operators.

From top to bottom:
color displayed as is,
linear,
simplified Reinhard operator,
luma based Reinhard op.,
white preserving luma based Reinhard op.,
RomBinDaHouse
filmic tone map.,
Uncharted 2 tone map..",5
387,1.06,60.0 fps,420 x 236,Texture Repetition V,165,iq,2017-03-30,16342,"Avoiding texture repetition. A small texture can be used to generate infinite variety instead of tiled repetition. It uses two texture lookups, plus one very cache-friendly lookup. More info: https://iquilezles.org/articles/texturerepetition/",25
388,0.80,57.7 fps,420 x 236,Disco 2000,52,finalman,2016-04-14,16343,My shader just wants to party all the time!,9
389,1.93,60.0 fps,420 x 236,It's a Question of Time,150,rigel,2018-01-20,16323,This was a study on circles inpired by this artwork . You can play circle inversion with your mouse...,17
390,2.70,59.9 fps,420 x 236,mpeg artifacts,222,kusma,2014-01-12,16316,A very crude attempt to simulate corruption in an MPEG video stream.,11
391,0.22,0.5 fps,420 x 236,20210930_CLUB-CAVE-09,168,0b5vr,2021-09-30,16118,"Live coding sesh @ CLUB CAVE. Coded in 45 minutes.

https://twitter.com/CLUBCAVE_/status/1442436938921701378?s=20",6
392,0.58,61.7 fps,420 x 236,Topologica,194,otaviogood,2014-08-21,16108,"At some point I stopped understanding exactly what makes this work, but it just kept getting cooler. Mostly, it's stepping through a low frequency noise function that ramps up to a 1/x pulse. But then there are lots of tweaks on top of that.",8
